Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
jk18x22bins.70,0,0.040875543,1.2524642,0.051419396,0,0,0,0,0,0,0,0,0.04314077,0.009863791,0.015645916,0,0.031032028,0,0.07636518,0.04489336
p16x60bins.58,0.012856095,0.05018577,0.04917408,0.02272644,0.053831764,0.037849247,0.017021012,0,0.036297746,0.008184387,0.015922304,0.014430783,0.042770587,0.05492937,0.08525126,0.037219577,0.13247992,0.22207808,0.15521657,0.06805533
jk18x34bins.7,0,0,0,0.10769927,0.13691494,0.38043278,0.09078937,0.029330974,0.042055722,0,0.005733009,0,0.19168445,0.7405492,0.16010687,0.04872908,0.11694957,0.057194073,0.19128138,0.14927734
p16x34bins.71,0.0131359855,0.05465997,0.049882263,0.027491026,0.05801414,0.037653703,0.014347605,0,0.03919539,0.008487776,0.014143239,0.015548456,0.37950054,0.5818912,0.09480639,0.042330995,0.034508742,0.05366939,0.06654178,0.019387787
jk18x22bins.41,0.009980458,0.10808579,0.45042956,0.1057278,0.045892574,0.025047343,0.051858444,0.008890716,0.026425019,0.015901547,0.022430614,0.06766175,0.028068801,0.027695809,0.027962869,0,0.019006465,0.027900554,0.05394567,0.033390224
jk18x1bzbins.87,0.72678626,7.6230927,0.5119953,0.63250667,0.5684033,0.81498253,0,0,0.61026376,0.65836895,0.3841535,0.30472553,0.22703911,0.15555969,0.6115338,0.77411765,2.7240582,2.9240701,0.94609994,0.7554335
jk18x1bzbins.19,0,0.5780431,0.04928045,0,0.03232873,0,0,0,0,0,0,0,0.04494908,0,0.016611017,0.009276975,0,0.008334316,0,0
p16x34bins.34,0,0,0.0197349,0.0149749685,0.026167313,0.06584961,0.027149688,0,0.01532506,0,0.01349999,0.010886131,0.08396603,0.57583135,0.05120912,0.014389845,0.06103016,0.10876727,0.08073325,0.093900405
jk18x1bzbins.83,0,0.7225705,0.08122528,0.047819078,0,0,0.034867838,0,0.028096635,0,0.019888362,0.041604273,0.035449486,0.04317566,0.029057467,0,0,0,0.03385215,0.021404907
jk18x11bins.54,0.41064146,0,0,0.020740075,0.054074787,0.0399371,0,0,0.124880865,0.21476026,0.025839051,0,0,0,0,0,0,0,0,0
jk18x40bins.51,0,0.025607053,0.07218236,0.041296087,0.04123294,0.0803478,0.32829353,0.039213665,0.037825316,0,0.101290256,0.01038034,0.027181277,0.016163254,0.023782454,0.008216767,0,0.020735241,0.019091636,0
p16x33bins.42,0,0,0,0,0,0,0.008811061,0,0,0.013627485,0,0,1.6316009,0,0,0,0,0,0.012553086,0
jk18x40bins.30,0,0,0,0,0,0,0.67568123,0.17660959,0,0,0,0,0,0,0,0,0,0,0,0
p16x57bins.41,0.0063880347,0.006289555,0.028808497,0.07429898,0.08379789,0.07692042,0.09061327,0.00681766,0.026593357,0.013396045,0.02393326,0.03870685,0.062363315,0.049806975,0.028178202,0.011499207,0.32192016,0.83332837,0.1680241,0.09745071
jk18xAbins.29,0,0,0,0,0,0,0.039243534,0.007538882,0,0,0,0.18122266,0,0,0.009867816,0,0,0,0,0
jk18xAbins.55,0,0.9825926,0,0.00866975,0,0,0,0,0,0,0,1.133803,0,0,0,0,0,0,0.03991256,0.015316484
jk18x1bzbins.61,0.09790917,0.33944902,0.24079826,0.23070703,0.19357349,0.3490257,0.088313386,0.013707725,0.16842584,0.08487446,0.204967,0.025748651,0.07678144,0.050581463,0.082359314,0.02662879,0.04322982,0.083947435,0.054489855,0.047332205
